,,,,,,,,,,,,,,,,,,,
,,Table 1: Key ASPIRE indicators of  SPL system performance  (Post Transfer - No Adjustments),,,,,,,,,,,,,,,,,
,,Region,Country Code,Income Classification,Country,Year,Coverage   ,,"Benefit Incidence  
 (Poorest 20%)","Average transfer amount
($/day per capita, PPP) ",Adequacy ,,Gini Inequality reduction due to SPL (% of population),Poverty Headcount reduction due to SPL (% of population),Poverty Gap reduction due to SPL (% of population),Benefit- cost ratio of SPL programs,,,
,,,,,,, Poorest quintile, Total, Poorest quintile, Total, Poorest quintile, Total,,,,,,,
,*New survey*,LCN,CHL,High income,Chile,2022,95.57,85.59,9.98,6.12,30.86,28.27,13.64,40.57,62.36,0.28,,,
,,EAS,CHN,Upper middle income,China,2013,75.00,63.05,3.00,3.36,17.03,36.83,11.61,37.32,61.99,0.16,,,
,,LCN,COL,Upper middle income,Colombia,2010,66.65,52.30,3.80,2.34,15.72,18.83,0.12,8.56,16.07,0.06,,,
,,LCN,COL,Upper middle income,Colombia,2011,63.59,51.60,3.02,2.53,16.70,16.94,0.16,7.22,14.13,0.04,,,
,,LCN,COL,Upper middle income,Colombia,2012,61.34,48.86,2.84,2.66,13.96,19.40,-0.40,7.20,12.99,0.04,,,
,,LCN,COL,Upper middle income,Colombia,2014,81.63,65.68,2.99,1.68,13.06,25.30,0.46,12.10,16.62,0.05,,,
,,LCN,COL,Upper middle income,Colombia,2015,53.14,36.26,3.58,3.76,16.42,28.32,-0.11,13.20,20.79,0.06,,,
,,LCN,COL,Upper middle income,Colombia,2016,49.95,34.45,3.16,3.87,15.02,29.62,-0.33,12.58,19.65,0.06,,,
,,LCN,COL,Upper middle income,Colombia,2017,48.83,33.63,0.48,3.76,2.09,27.92,-1.64,8.13,11.48,0.03,,,
,,LCN,COL,Upper middle income,Colombia,2018,46.56,32.54,0.47,4.14,2.30,29.17,-1.70,7.98,11.63,0.03,,,
,,LCN,COL,Upper middle income,Colombia,2019,43.59,31.54,0.40,4.33,2.26,30.19,-1.57,7.94,11.02,0.03,,,
,,LCN,COL,Upper middle income,Colombia,2020,33.18,31.81,1.82,5.36,19.82,36.93,-0.30,15.46,23.28,0.05,,,
,*New survey*,LCN,COL,Upper middle income,Colombia,2021,52.71,41.46,0.85,3.16,4.07,26.14,-1.18,9.20,14.11,0.04,,,
,*New survey*,LCN,COL,Upper middle income,Colombia,2022,54.33,40.98,0.41,3.63,2.01,25.34,-1.19,6.98,9.18,0.02,,,
,,SSF,COM,Lower middle income,Comoros,2004,0.89,1.98,0.62,1.54,5.44,13.22,0.11,0.66,0.85,0.04,,,
,*New survey*,SSF,COM,Lower middle income,Comoros,2020,7.83,7.67,0.70,0.59,2.05,5.73,-0.05,0.30,0.91,0.09,,,
,,SSF,COD,Low income,"Congo, Dem. Rep.",2004,0.59,1.51,1.75,0.31,20.37,16.97,0.05,0.54,1.75,0.10,,,
,,SSF,COD,Low income,"Congo, Dem. Rep.",2012,5.48,11.06,3.45,1.09,64.40,38.26,0.67,10.03,20.91,0.11,,,
,,SSF,COG,Lower middle income,"Congo, Rep.",2005,4.89,8.91,4.62,2.47,126.17,66.99,3.04,13.01,29.92,0.12,,,
,,LCN,CRI,Upper middle income,Costa Rica,2008,84.64,70.17,5.75,2.13,52.02,38.09,3.08,18.20,34.44,0.16,,,
,,LCN,CRI,Upper middle income,Costa Rica,2009,84.73,72.68,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,
,,LCN,CRI,Upper middle income,Costa Rica,2010,82.23,67.15,5.66,2.77,25.11,27.06,1.88,19.06,28.33,0.11,,,
,,LCN,CRI,Upper middle income,Costa Rica,2011,82.98,67.95,5.59,2.68,23.33,26.05,2.15,18.97,27.37,0.11,,,
,,LCN,CRI,Upper middle income,Costa Rica,2012,80.14,67.33,5.41,2.85,24.96,24.66,2.20,19.33,27.07,0.10,,,
,,LCN,CRI,Upper middle income,Costa Rica,2014,83.21,66.63,5.18,3.23,28.20,28.67,1.67,18.07,27.94,0.10,,,
,,LCN,CRI,Upper middle income,Costa Rica,2015,86.04,72.01,5.55,2.88,28.58,30.16,2.34,19.80,27.90,0.11,,,
