"country_code","country","region","income_class","year","uct_pq","uct_total","cct_pq","cct_total","poverty_gap_reduction"
"CHL","Chile","LCN","High income",2011,21.062525674401,20.2946439164761,40.7905245950221,17.5573638093219,45.5587573717631
"CHL","Chile","LCN","High income",2013,49.3515732191706,33.2032717772165,43.4533910988771,19.8603220378131,43.525219081357
"CHL","Chile","LCN","High income",2015,53.0226201138652,34.8012302782545,41.4285761499567,18.8067178071032,25.2599730695721
"CHL","Chile","LCN","High income",2017,57.2956101800167,34.7905476523232,37.4875618060628,16.8743723761231,47.281468497631
"CHL","Chile","LCN","High income",2020,76.5999453640026,53.629606457214,25.099616495195,12.0574765051006,56.6939276160793
"CHL","Chile","LCN","High income",2022,53.1004226055544,31.0727720547019,29.1692167544171,12.3138606642022,62.3575876619113
"CHN","China","EAS","Upper middle income",2013,15.0557479979927,11.6840165373011,NA,NA,61.9862503474575
"COL","Colombia","LCN","Upper middle income",2010,1.36902170689591,0.925977572853212,41.9416576114021,22.0906735829547,16.0696915765597
"COL","Colombia","LCN","Upper middle income",2011,2.63506398602665,1.31363903103104,37.7663786631963,20.3549671155072,14.1294291011019
"COL","Colombia","LCN","Upper middle income",2012,1.41705696192218,0.851885774849448,33.9444319506506,18.1989676633522,12.9865295365643
"COL","Colombia","LCN","Upper middle income",2014,0.738980873641408,0.835709763420218,40.7575565933215,21.8114034838868,16.6231890753781
"COL","Colombia","LCN","Upper middle income",2015,NA,NA,52.5813781995581,26.3535106194365,20.7900788372568
"COL","Colombia","LCN","Upper middle income",2016,2.86518322951017,1.59314481842035,40.4543144592853,17.878371628531,19.6529345343175
"COL","Colombia","LCN","Upper middle income",2017,3.90488501809798,2.08533048272384,38.4130944357754,16.9160967498152,11.4823786510279
"COL","Colombia","LCN","Upper middle income",2018,3.36822062147589,1.96106055267106,36.2436706429588,15.5551498017466,11.6340006597448
"COL","Colombia","LCN","Upper middle income",2019,2.82216837223611,1.59306996387309,33.5927571494493,14.6150374983091,11.0176748659543
"COL","Colombia","LCN","Upper middle income",2020,9.27546548566823,6.65862343928444,20.6281046514226,11.4392505151917,23.2821414425927
"COL","Colombia","LCN","Upper middle income",2021,24.4928779592645,16.4184663816765,28.4676597911892,13.5806127851054,14.1072725239303
"COL","Colombia","LCN","Upper middle income",2022,31.6600474454001,19.225974329197,25.1736845942831,11.3094566980421,9.18214381616428
"COM","Comoros","SSF","Lower middle income",2004,NA,NA,NA,NA,0.848629444536919
"COM","Comoros","SSF","Lower middle income",2020,NA,NA,NA,NA,0.91328408441515
"COD","Congo, Dem. Rep.","SSF","Low income",2004,NA,NA,NA,NA,1.74529610930677
"COD","Congo, Dem. Rep.","SSF","Low income",2012,NA,NA,NA,NA,20.9098234267733
"COG","Congo, Rep.","SSF","Lower middle income",2005,NA,NA,NA,NA,29.9230354533724
"CRI","Costa Rica","LCN","Upper middle income",2008,4.48412252808889,1.40747196746979,8.87104622524046,4.82806699841422,34.4410539999186
"CRI","Costa Rica","LCN","Upper middle income",2010,24.6269266259597,12.9641603210571,20.5664975695042,11.3803977231964,28.3261766098472
"CRI","Costa Rica","LCN","Upper middle income",2011,25.9214277998016,13.0888686007154,21.6127564432019,11.4165926225917,27.3741115755915
"CRI","Costa Rica","LCN","Upper middle income",2012,26.1368767820818,12.2004188202513,21.4930350976032,10.288981673389,27.0697967683094
"CRI","Costa Rica","LCN","Upper middle income",2014,6.78666220445758,2.71565582555062,22.0039528437111,10.5577852627895,27.9400845207373
"CRI","Costa Rica","LCN","Upper middle income",2015,10.380049825569,3.80714782096511,21.6660190866421,10.064866149183,27.9038220084552
"CRI","Costa Rica","LCN","Upper middle income",2016,14.8922490381396,5.13610598707778,19.7131571001013,9.86310632330931,33.6998447129777
"CRI","Costa Rica","LCN","Upper middle income",2017,15.3827110891961,5.17835417367306,22.2819811977363,10.602812725785,40.8990971641861
"CRI","Costa Rica","LCN","Upper middle income",2018,12.4446362527789,5.01259521171215,24.815805452821,11.4096702244218,39.0301108941516
"CRI","Costa Rica","LCN","Upper middle income",2019,11.3026635631269,4.45895059752317,43.1533524874766,18.2338670529042,42.5192044413113
"CRI","Costa Rica","LCN","Upper middle income",2020,39.1806372058136,26.8720598911534,37.7216338167552,17.6093010801029,59.1205005509415
"CRI","Costa Rica","LCN","Upper middle income",2021,8.48711747338006,3.63560463158835,36.9388743845641,15.3214433764345,44.5573725003641
"CRI","Costa Rica","LCN","Upper middle income",2022,9.80125295794575,3.48059823346696,42.9697486971583,16.5435177600801,44.1172616652102
"HRV","Croatia","ECS","High income",2008,43.1552350540953,20.3753129725537,NA,NA,75.3036218546011
"HRV","Croatia","ECS","High income",2010,44.2603866824655,21.1396290333066,NA,NA,79.4253421519829
"HRV","Croatia","ECS","High income",2011,43.3056640625,18.6941318511963,NA,NA,79.6413955688477
"HRV","Croatia","ECS","High income",2014,55.0544357299805,25.1015357971191,NA,NA,79.5867080688477
"CIV","Côte d’Ivoire","SSF","Lower middle income",2002,NA,NA,NA,NA,14.26837458815
"CIV","Côte d’Ivoire","SSF","Lower middle income",2008,NA,NA,NA,NA,11.8787612795566
"CIV","Côte d’Ivoire","SSF","Lower middle income",2015,NA,NA,NA,NA,18.4982182963823
"CIV","Côte d’Ivoire","SSF","Lower middle income",2018,0.254526636103855,0.439527967117353,NA,NA,0.660774844864071
"CIV","Côte d’Ivoire","SSF","Lower middle income",2021,1.91936466917922,1.81612690268483,NA,NA,5.18889434178443
"DJI","Djibouti","MEA","Lower middle income",2012,5.78034030250827,2.06431568366397,NA,NA,17.6982634820462
"DMA","Dominica","LCN","Upper middle income",2002,NA,NA,NA,NA,13.4800218448008
"DOM","Dominican Republic","LCN","Upper middle income",2007,NA,NA,16.0280341957463,7.82537965492919,8.62655769410967
"DOM","Dominican Republic","LCN","Upper middle income",2008,NA,NA,30.4149172440571,17.0518051947684,13.2522485809548
"DOM","Dominican Republic","LCN","Upper middle income",2009,NA,NA,35.2216905669836,23.7461626936187,14.1574896859453
"DOM","Dominican Republic","LCN","Upper middle income",2010,NA,NA,38.8437548335128,26.8893801160353,18.348229345014
"DOM","Dominican Republic","LCN","Upper middle income",2011,NA,NA,35.568035402766,24.8122302448469,15.0754845624112
"DOM","Dominican Republic","LCN","Upper middle income",2012,NA,NA,40.1006844993442,30.2987336670394,16.3167573575648
"DOM","Dominican Republic","LCN","Upper middle income",2013,NA,NA,34.0965942551109,27.1713663906607,17.0356098383095
"DOM","Dominican Republic","LCN","Upper middle income",2014,NA,NA,38.8153048316991,28.1445881540365,17.4957161244023
"DOM","Dominican Republic","LCN","Upper middle income",2015,NA,NA,40.0735378651026,26.2119350675705,16.8148325417198
"DOM","Dominican Republic","LCN","Upper middle income",2016,NA,NA,37.8022089079608,27.0227898534606,17.3077184052733
"DOM","Dominican Republic","LCN","Upper middle income",2017,NA,NA,38.4665111954547,28.5666386368352,22.4838634293408
"DOM","Dominican Republic","LCN","Upper middle income",2018,NA,NA,36.5923769228709,27.8433998118879,22.8498986500347
"DOM","Dominican Republic","LCN","Upper middle income",2019,NA,NA,31.2769444921742,26.2883196387253,14.9794476603565
"DOM","Dominican Republic","LCN","Upper middle income",2021,NA,NA,40.2226980850112,33.9755131642006,26.9818116227404
"ECU","Ecuador","LCN","Upper middle income",2008,NA,NA,57.1651592840046,34.0201443307251,28.1403794713317
"ECU","Ecuador","LCN","Upper middle income",2010,NA,NA,52.3697173223647,32.4210705834088,32.105269327249
"ECU","Ecuador","LCN","Upper middle income",2011,NA,NA,52.9081577279777,29.4509018490679,31.8959638591543
"ECU","Ecuador","LCN","Upper middle income",2012,NA,NA,63.5005610164891,35.8267105938845,34.6134197919513
"ECU","Ecuador","LCN","Upper middle income",2014,NA,NA,36.7376307649262,20.298206448935,20.4697548772952
"ECU","Ecuador","LCN","Upper middle income",2015,NA,NA,38.0473191533333,19.6272316617446,20.9458828189762
"ECU","Ecuador","LCN","Upper middle income",2016,NA,NA,36.7086991214614,17.9180825134229,31.7863194870111
"ECU","Ecuador","LCN","Upper middle income",2017,NA,NA,41.3415000900441,19.5453818078685,21.0629891787001
"ECU","Ecuador","LCN","Upper middle income",2018,NA,NA,44.5873673023696,19.5112575991924,23.53497628567
"ECU","Ecuador","LCN","Upper middle income",2019,NA,NA,44.9569554645397,20.2222686078675,25.7916044332483
"ECU","Ecuador","LCN","Upper middle income",2020,16.1659300160477,11.9659290850755,43.3796472936842,25.1759928582691,24.507165715934
"ECU","Ecuador","LCN","Upper middle income",2021,NA,NA,63.4700590056177,32.5916128718029,30.2304663468743
"ECU","Ecuador","LCN","Upper middle income",2022,NA,NA,56.2171283080094,27.3638874928207,31.3954980170477
"EGY","Egypt, Arab Rep.","MEA","Lower middle income",2008,8.63156265814464,5.51805535793874,NA,NA,52.1329573851592
"SLV","El Salvador","LCN","Upper middle income",2007,NA,NA,NA,NA,4.06592491893603
"SLV","El Salvador","LCN","Upper middle income",2008,7.34781950333131,2.34122270636004,NA,NA,7.76075764750699
"SLV","El Salvador","LCN","Upper middle income",2009,16.4126452158455,5.7707481119688,NA,NA,7.87992342666894
"SLV","El Salvador","LCN","Upper middle income",2010,16.9011409004785,6.64580030177706,NA,NA,7.55725649158061
"SLV","El Salvador","LCN","Upper middle income",2011,16.7228831542864,7.05451502633226,NA,NA,9.19068965621526
"SLV","El Salvador","LCN","Upper middle income",2012,16.3085653603958,6.62995370015232,16.498847973322,6.32114391740175,5.97074712945517
"SLV","El Salvador","LCN","Upper middle income",2014,12.2375164291027,5.41130167597065,NA,NA,7.85539137134857
"SLV","El Salvador","LCN","Upper middle income",2015,NA,NA,11.9381314060671,4.29462501714134,5.39067505325107
"SLV","El Salvador","LCN","Upper middle income",2016,NA,NA,13.4463106020552,4.58956666932677,4.36269279219817
"SLV","El Salvador","LCN","Upper middle income",2017,NA,NA,10.5549124952404,3.74198879206093,5.51837493010893
"SLV","El Salvador","LCN","Upper middle income",2018,NA,NA,5.93194228812097,2.06249398493851,5.22103753732995
"SLV","El Salvador","LCN","Upper middle income",2019,NA,NA,3.71334590732572,1.19113699058841,5.32002826469369
"SLV","El Salvador","LCN","Upper middle income",2021,23.419165373777,23.4087733986227,NA,NA,16.2715917007188
"SLV","El Salvador","LCN","Upper middle income",2022,26.7006187808411,30.1673572645678,NA,NA,16.2156713431239
"SWZ","Eswatini","SSF","Lower middle income",2009,4.01164444128796,2.58198498542908,NA,NA,27.7491193455985
"SWZ","Eswatini","SSF","Lower middle income",2016,NA,NA,NA,NA,33.2405263636872
"ETH","Ethiopia","SSF","Low income",2015,3.17889131315151,2.85291906849352,NA,NA,12.2621024248647
"ETH","Ethiopia","SSF","Low income",2018,3.47001567627809,3.69699381838635,NA,NA,9.41972349409394
"FJI","Fiji","EAS","Upper middle income",2008,7.10812265800971,6.39638450585616,NA,NA,25.6115162434532
"FJI","Fiji","EAS","Upper middle income",2013,9.46201105105581,6.12163909893395,NA,NA,20.6184706095345
"GAB","Gabon","SSF","Upper middle income",2005,NA,NA,NA,NA,20.4507741467357
"GAB","Gabon","SSF","Upper middle income",2017,4.54266137049614,5.78041770483043,NA,NA,8.66181295254612
"GMB","Gambia, The","SSF","Low income",1998,NA,NA,NA,NA,1.98787681678357
"GMB","Gambia, The","SSF","Low income",2010,NA,NA,NA,NA,0.869486283725482
"GMB","Gambia, The","SSF","Low income",2015,NA,NA,NA,NA,5.07401028548406
"GEO","Georgia","ECS","Upper middle income",2011,34.6125453206503,17.3556911058496,NA,NA,68.4493667434459
"GEO","Georgia","ECS","Upper middle income",2012,31.511461740421,16.4220811564854,NA,NA,65.007547023422
"GEO","Georgia","ECS","Upper middle income",2013,34.6676627497819,16.3519863665431,NA,NA,68.1035821322199
"GEO","Georgia","ECS","Upper middle income",2014,29.7725201091925,13.9004765757184,NA,NA,71.5354063934288
"GEO","Georgia","ECS","Upper middle income",2015,29.1152116302066,13.5018688371199,NA,NA,71.7071838398426
"GEO","Georgia","ECS","Upper middle income",2016,29.116541661241,13.6059847900273,NA,NA,73.8087038213326
"GEO","Georgia","ECS","Upper middle income",2017,34.201133659615,15.6290389941769,NA,NA,70.077894830396
"GEO","Georgia","ECS","Upper middle income",2018,38.7440959014082,15.2368958604305,NA,NA,70.0616876157336
"GEO","Georgia","ECS","Upper middle income",2019,35.6264430379446,14.8592813949318,NA,NA,73.2162336810706
"GEO","Georgia","ECS","Upper middle income",2020,30.8939059298978,14.0894013298823,NA,NA,75.0235417897688
"GEO","Georgia","ECS","Upper middle income",2021,33.0684358103998,15.1390716537531,NA,NA,75.2523664502448
"GHA","Ghana","SSF","Lower middle income",2012,NA,NA,NA,NA,4.76692192815444
"GHA","Ghana","SSF","Lower middle income",2016,5.17262732746577,1.47956499458237,NA,NA,2.72589498093545
"GTM","Guatemala","LCN","Upper middle income",2006,NA,NA,NA,NA,3.26935103506568
"GTM","Guatemala","LCN","Upper middle income",2011,NA,NA,49.6814318741792,30.6477857551817,4.29346620827112
"GTM","Guatemala","LCN","Upper middle income",2014,NA,NA,30.0181192478298,20.4785617813603,2.23941877322441
"GIN","Guinea","SSF","Lower middle income",2012,1.28487735302024,1.7142901320881,NA,NA,1.2017658433395
"GIN","Guinea","SSF","Lower middle income",2018,NA,NA,NA,NA,0.759947501823076
"GNB","Guinea-Bissau","SSF","Low income",2018,NA,NA,NA,NA,2.25057856759623
"GNB","Guinea-Bissau","SSF","Low income",2021,5.79986803211861,5.4637555785969,NA,NA,1.06828517823792
"HND","Honduras","LCN","Lower middle income",2008,NA,NA,7.29803697441953,3.52385507164426,13.1214607143358
"HND","Honduras","LCN","Lower middle income",2009,NA,NA,58.035197541726,36.1211588313481,26.1743004246415
"HND","Honduras","LCN","Lower middle income",2010,NA,NA,3.70325699797785,2.4379376740484,3.8007475942698
"HND","Honduras","LCN","Lower middle income",2011,NA,NA,9.63741633727292,7.03939130916545,9.66776327950096
"HND","Honduras","LCN","Lower middle income",2013,NA,NA,16.0739625886906,10.1224680262662,13.2205489223252
"HND","Honduras","LCN","Lower middle income",2015,NA,NA,33.5080122880985,15.4981411247975,23.1491035211695
"HND","Honduras","LCN","Lower middle income",2016,NA,NA,16.0351040193409,7.28019234703323,11.7794807830212
"HND","Honduras","LCN","Lower middle income",2017,NA,NA,24.8986882751122,12.8061254827785,16.1395846769651
"HND","Honduras","LCN","Lower middle income",2018,NA,NA,27.7811856767174,13.9630101424179,13.9420083040778
"HND","Honduras","LCN","Lower middle income",2019,NA,NA,17.0432175687634,6.99179210023862,6.67653709444933
"HUN","Hungary","ECS","High income",2007,76.9378259445421,52.4424268833455,NA,NA,86.6597157349366
"IND","India","SAS","Lower middle income",2011,NA,NA,NA,NA,22.8455782954877
"IDN","Indonesia","EAS","Upper middle income",2015,38.9463585636445,20.2224660140588,NA,NA,38.1704460988792
"IDN","Indonesia","EAS","Upper middle income",2016,6.40866228391779,3.7177040446357,NA,NA,7.11547188347124
"IDN","Indonesia","EAS","Upper middle income",2017,NA,NA,14.6735403510868,6.55766860606239,3.99548590162223
"IDN","Indonesia","EAS","Upper middle income",2018,3.36898517061385,2.31930353428454,22.2724332115493,10.7581861708951,5.74863313587406
"IDN","Indonesia","EAS","Upper middle income",2019,2.03831058966163,1.96727544187687,26.1075736369815,14.1705135252679,7.80860175664651
"IDN","Indonesia","EAS","Upper middle income",2020,5.91699633285547,4.93559066798759,27.8849873169668,14.6218166891227,11.3906613128819
"IDN","Indonesia","EAS","Upper middle income",2021,23.8670484046952,22.2649390931335,27.8448776507407,15.3057156526582,17.3358337425596
"IDN","Indonesia","EAS","Upper middle income",2022,46.854039467714,35.0946644903415,29.6634564239007,17.4260997447684,26.9658931852442
"IRN","Iran, Islamic Rep.","MEA","Upper middle income",2017,93.6768166144754,91.4170356012358,NA,NA,41.7028919393366
"IRN","Iran, Islamic Rep.","MEA","Upper middle income",2018,93.8771543445648,90.7291442335524,NA,NA,38.0971034710538
"IRN","Iran, Islamic Rep.","MEA","Upper middle income",2019,94.5332013735173,90.6599360096382,NA,NA,35.0059570334026
"IRN","Iran, Islamic Rep.","MEA","Upper middle income",2020,89.7734259224147,89.875415722542,NA,NA,73.5817291866619
"IRQ","Iraq","MEA","Upper middle income",2006,83.1800720822614,75.9668971124368,NA,NA,35.4317800003932
"IRQ","Iraq","MEA","Upper middle income",2012,20.2648635746233,18.3375708983314,NA,NA,35.706111175846
"JAM","Jamaica","LCN","Upper middle income",2002,27.6206050695012,16.1336734026552,NA,NA,0.421704893577251
"JAM","Jamaica","LCN","Upper middle income",2010,NA,NA,44.4769140853302,24.0273274664196,16.4114729218637
"JAM","Jamaica","LCN","Upper middle income",2017,10.4331873775186,5.36706703457695,49.1024852293802,27.8508323643558,13.3493415552793
"JOR","Jordan","MEA","Lower middle income",2006,14.8107121312044,7.02352036651275,NA,NA,64.0993012038651
"JOR","Jordan","MEA","Lower middle income",2010,18.0425526812457,8.38907503624262,NA,NA,56.8457026345465
